"","ID","Journal","Volume","Number","Page.range","Authors","Year","Title","DOI","Abstract","journal_code","abstracts_processed"
"210",210,"The Academy of Management Annals","13","2","770-806","Cronin, MatthewA.",2019,"Conflict Management through the Lens of System Dynamics","10.5465/annals.2017.0021","A fundamental concern in conflict management research is characterizing (dys)functional conflict; what is missing from this conversation is dynamics. We thus provide a systematic analysis of the ways in which dynamics have been investigated in prior conflict research and show how dynamics have been incompletely explained even when the research intended to focus on such dynamic processes. We demonstrate how the conceptual frameworks used to study conflict are not built to capture dynamic change and review a different framework, the system dynamics (SD) framework, as a means to move beyond linear causality. We next show how using the SD framework we can reinterpret and synthesize a multitude of static cause and effect findings from across levels of analysis in conflict research. We demonstrate how this framework may solve some of the Gordian knots in research on conflict utility (e.g., why task conflict may not be as helpful as it is theorized). We close with suggestions for how to use the SD framework to advance the study of conflict beyond what linear causality can provide and capture conflict dynamics in a more substantial way.","ama","a fundamental concern in conflict management research is characterizing dys functional conflict what is missing from this conversation is dynamics we thus provide a systematic analysis of the ways in which dynamics have been investigated in prior conflict research and show how dynamics have been incompletely explained even when the research intended to focus on such dynamic processes we demonstrate how the conceptual frameworks used to study conflict are not built to capture dynamic change and review a different framework the system dynamics sd framework as a means to move beyond linear causality we next show how using the sd framework we can reinterpret and synthesize a multitude of static cause and effect findings from across levels of analysis in conflict research we demonstrate how this framework may solve some of the gordian knots in research on conflict utility e g why task conflict may not be as helpful as it is theorized we close with suggestions for how to use the sd framework to advance the study of conflict beyond what linear causality can provide and capture conflict dynamics in a more substantial way"
"211",211,"The Academy of Management Annals","14","1","122-159","Lim, JiaHui",2020,"Soliciting Resources from Others: An Integrative Review","10.5465/annals.2018.0034","Resource seeking, or the act of asking others for things that can help one attain one’s goals, is an important behavior within organizations because of the increasingly dynamic nature of work that demands collaboration and coordination among employees. Over the past two decades, there has been growing research in the organizational sciences on four types of resource seeking behaviors: feedback seeking, information seeking, advice seeking, and help seeking. However, research on these four behaviors has existed in separate silos. We argue that there is value in recognizing that these behaviors reflect a common higher order construct (resource seeking), and in integrating the findings across the four literatures as a basis for understanding what we do and do not know about the predictors and outcomes of resource seeking at work. More specifically, we use conservation of resources (COR) theory as a framework to guide our integration across the four literatures and to both deepen and extend current understandings of why and when employees engage in resource seeking, as well as how resource seeking behaviors may lead to both individual- and collective-level outcomes. We conclude with a discussion of future research needs and how COR theory can provide a fruitful foundation for future resource seeking research.","ama","resource seeking or the act of asking others for things that can help one attain one goals is an important behavior within organizations because of the increasingly dynamic nature of work that demands collaboration and coordination among employees over the past two decades there has been growing research in the organizational sciences on four types of resource seeking behaviors feedback seeking information seeking advice seeking and help seeking however research on these four behaviors has existed in separate silos we argue that there is value in recognizing that these behaviors reflect a common higher order construct resource seeking and in integrating the findings across the four literatures as a basis for understanding what we do and do not know about the predictors and outcomes of resource seeking at work more specifically we use conservation of resources cor theory as a framework to guide our integration across the four literatures and to both deepen and extend current understandings of why and when employees engage in resource seeking as well as how resource seeking behaviors may lead to both individual and collective level outcomes we conclude with a discussion of future research needs and how cor theory can provide a fruitful foundation for future resource seeking research"
"212",212,"The Academy of Management Annals","14","1","1-28","Olekalns, Mara",2020,"Gradual Drifts, Abrupt Shocks: From Relationship Fractures to Relational Resilience","10.5465/annals.2017.0111","Although high-quality work relationships are essential for organizational effectiveness and employee well-being, they often fracture in the course of organizational life. To better understand how work relationships recover from relationship fractures, we provide an integrative review under the umbrella of relational resilience. We establish a unified definition of relational resilience, and then use two broad attributes—resilience processes and resilience foundations—as an organizing framework for our discussion of relational resilience. Resilience processes describe how fractures are triggered, interpreted, and repaired. We review common triggers of relationship fracture and describe two distinct pathways—gradual drifts and abrupt shocks—to fracture, highlight the important role that positive attributional and prosocial sensemaking processes play in facilitating postfracture repair, and discuss the process by which fractured relationships are restored or strengthened. Resilience foundations describe the preconditions for successfully engaging in prosocial sensemaking and relational repair. Our review identified the relational foundations critical to positive sensemaking and positive relational attributions, and the reparative foundations critical to relational repair. Finally, we organize insights and future directions around six themes: balancing and realigning emotions, synchronizing attributions and cognitions, contingencies of effective repair, fracture pathways and repair, trajectories of repair, and reciprocal relationships.","ama","although high quality work relationships are essential for organizational effectiveness and employee well being they often fracture in the course of organizational life to better understand how work relationships recover from relationship fractures we provide an integrative review under the umbrella of relational resilience we establish a unified definition of relational resilience and then use two broad attributes resilience processes and resilience foundations as an organizing framework for our discussion of relational resilience resilience processes describe how fractures are triggered interpreted and repaired we review common triggers of relationship fracture and describe two distinct pathways gradual drifts and abrupt shocks to fracture highlight the important role that positive attributional and prosocial sensemaking processes play in facilitating postfracture repair and discuss the process by which fractured relationships are restored or strengthened resilience foundations describe the preconditions for successfully engaging in prosocial sensemaking and relational repair our review identified the relational foundations critical to positive sensemaking and positive relational attributions and the reparative foundations critical to relational repair finally we organize insights and future directions around six themes balancing and realigning emotions synchronizing attributions and cognitions contingencies of effective repair fracture pathways and repair trajectories of repair and reciprocal relationships"
"213",213,"The Academy of Management Annals","14","1","160-194","Zahra, ShakerA.",2020,"What Do We Know About Knowledge Integration: Fusing Micro- and Macro-Organizational Perspectives","10.5465/annals.2017.0093","Knowledge integration is the raison d’etre for the existence of the firm (Grant, 1996a; Kogut & Zander, 1992) and has been widely studied across many subfields in management and organizational studies. However, few constructs have received as much scholarly attention as knowledge integration while remaining so equivocally defined and measured, leading to a confusing array of conceptualizations, undermining its theoretical, empirical, and practical usefulness. As a theoretical construct, knowledge integration also cuts across the macro- and microlevels, gaining attention from scholars interested in explaining the microfoundations of strategy and capabilities (e.g., Felin & Hesterly, 2007; Lewin, Massini, & Peeters, 2011). However, the interplay among these micro and macro factors is often overlooked, and its implications for theory building are ignored. To address these issues, we examine and integrate micro- and macro-organizational perspectives on knowledge integration. We provide a review of its definitions and offer our definition based on key dimensions identified. We discuss and analyze the micro and macro perspectives, presenting key assertions, propositions, limitations, and conclusions from representative studies. Finally, we integrate the diverse perspectives we discuss, showing how their interplay can enrich future scholarship and our understanding of knowledge integration as a key organizational construct.","ama","knowledge integration is the raison d etre for the existence of the firm grant a kogut zander and has been widely studied across many subfields in management and organizational studies however few constructs have received as much scholarly attention as knowledge integration while remaining so equivocally defined and measured leading to a confusing array of conceptualizations undermining its theoretical empirical and practical usefulness as a theoretical construct knowledge integration also cuts across the macro and microlevels gaining attention from scholars interested in explaining the microfoundations of strategy and capabilities e g felin hesterly lewin massini peeters however the interplay among these micro and macro factors is often overlooked and its implications for theory building are ignored to address these issues we examine and integrate micro and macro organizational perspectives on knowledge integration we provide a review of its definitions and offer our definition based on key dimensions identified we discuss and analyze the micro and macro perspectives presenting key assertions propositions limitations and conclusions from representative studies finally we integrate the diverse perspectives we discuss showing how their interplay can enrich future scholarship and our understanding of knowledge integration as a key organizational construct"
"214",214,"The Academy of Management Annals","14","1","195-230","Amis, JohnM.",2020,"The Organizational Reproduction of Inequality","10.5465/annals.2017.0033","With societal inequalities continuing to increase and organizations providing the vast majority of people with their income, we wanted to assess the ways in which organizational practices are implicated in the burgeoning of social and economic inequality. Following an integrative review of the literature drawn from across the social sciences, we found that the multiple ways in which five major organizational practices—hiring, role allocation, promotion, compensation, and structuring—are enacted emerged as being central to the reproduction of inequality. We also uncovered how the persistence of these practices, and the inequality they induce, can be largely attributed to a constellation of three highly institutionalized myths, efficiency, meritocracy, and positive globalization. Our analysis further reveals how, as scholars, we bear a corresponding responsibility to reconsider how we engage in research on and teaching about organizations. The implications of this for our future work are discussed.","ama","with societal inequalities continuing to increase and organizations providing the vast majority of people with their income we wanted to assess the ways in which organizational practices are implicated in the burgeoning of social and economic inequality following an integrative review of the literature drawn from across the social sciences we found that the multiple ways in which five major organizational practices hiring role allocation promotion compensation and structuring are enacted emerged as being central to the reproduction of inequality we also uncovered how the persistence of these practices and the inequality they induce can be largely attributed to a constellation of three highly institutionalized myths efficiency meritocracy and positive globalization our analysis further reveals how as scholars we bear a corresponding responsibility to reconsider how we engage in research on and teaching about organizations the implications of this for our future work are discussed"
"215",215,"The Academy of Management Annals","14","1","231-266","Knight, AndrewP.",2020,"Start-Up Teams: A Multidimensional Conceptualization, Integrative Review of Past Research, and Future Research Agenda","10.5465/annals.2018.0061","Academic interest in start-up teams has grown dramatically over the past 40 years, with researchers from a wide variety of disciplines actively studying the topic. Although this widespread interest is encouraging, a review of the literature reveals a lack of consensus in how researchers conceptualize and operationally define start-up teams. A lack of consensus on the core phenomenon—a foundational part of a strong paradigm—has stifled the systematic advancement of knowledge about start-up teams, which has downstream implications for the viability of this field of research. To advance the development of a stronger paradigm, we present a multidimensional conceptualization of start-up teams that is derived from points of consensus in existing definitions. Our multidimensional conceptualization accounts for the fact that although all are under the umbrella of the concept of “start-up team,” start-up teams vary in a set of key ingredients—ownership of equity, autonomy of strategic decision-making, and entitativity. This conceptualization serves as a framework for reviewing and beginning to integrate past research on start-up teams. It also serves as a framework for guiding and informing an integrated program of future research on start-up teams. By introducing a multidimensional conceptualization of start-up teams, we highlight the value of considering the defining ingredients of start-up teams for furthering a stronger paradigm.","ama","academic interest in start up teams has grown dramatically over the past years with researchers from a wide variety of disciplines actively studying the topic although this widespread interest is encouraging a review of the literature reveals a lack of consensus in how researchers conceptualize and operationally define start up teams a lack of consensus on the core phenomenon a foundational part of a strong paradigm has stifled the systematic advancement of knowledge about start up teams which has downstream implications for the viability of this field of research to advance the development of a stronger paradigm we present a multidimensional conceptualization of start up teams that is derived from points of consensus in existing definitions our multidimensional conceptualization accounts for the fact that although all are under the umbrella of the concept of start up team start up teams vary in a set of key ingredients ownership of equity autonomy of strategic decision making and entitativity this conceptualization serves as a framework for reviewing and beginning to integrate past research on start up teams it also serves as a framework for guiding and informing an integrated program of future research on start up teams by introducing a multidimensional conceptualization of start up teams we highlight the value of considering the defining ingredients of start up teams for furthering a stronger paradigm"
"216",216,"The Academy of Management Annals","14","1","267-302","Joseph, John",2020,"Organizational Structure, Information Processing, and Decision-Making: A Retrospective and Road Map for Research","10.5465/annals.2017.0103","Beginning with Simon (1947)—and motivated by an interest in the effect of formal organizational structure on decision-making—a large body of research has examined how organizations process information. Yet, research in this area is extremely diverse and fragmented. We offer a retrospective of past research to summarize our collective knowledge, as well as identify and advance new concerns and questions. In doing so, we identify three critical issues: a division between an aggregation perspective and a constraint perspective of structure, little focus on informational sources of conflict, and uneven treatment of various stages of decision-making. We then offer a road map for future research that elaborates the role of organizational structure in decision-making. In this endeavor, we offer an ecological perspective of information processing that addresses the issues and provides opportunities to expand research in new directions.","ama","beginning with simon and motivated by an interest in the effect of formal organizational structure on decision making a large body of research has examined how organizations process information yet research in this area is extremely diverse and fragmented we offer a retrospective of past research to summarize our collective knowledge as well as identify and advance new concerns and questions in doing so we identify three critical issues a division between an aggregation perspective and a constraint perspective of structure little focus on informational sources of conflict and uneven treatment of various stages of decision making we then offer a road map for future research that elaborates the role of organizational structure in decision making in this endeavor we offer an ecological perspective of information processing that addresses the issues and provides opportunities to expand research in new directions"
"217",217,"The Academy of Management Annals","14","1","29-59","Lazar, Moran",2020,"Entrepreneurial Team Formation","10.5465/annals.2017.0131","Entrepreneurial team formation—the process through which founders establish a team to start a new venture—has important implications for team performance and entrepreneurial success. Although research on entrepreneurial team formation is gradually growing, it is at a critical juncture and marked by considerable fragmentation. In part, this is because scholars have examined entrepreneurial team formation through different disciplinary lenses and within very different contexts. Our structured content analysis situates the literature based on questions addressed for new venture team formation, such as why, how, when, and where entrepreneurial teams are formed. The resulting integrative framework delineates the dynamic nature of the formation process, the origins of new venture teams, primary formation strategies used to initiate cofounding relations, and their effects on team characteristics, processes, and performance. Two key insights emerge to guide future research. One, the need for integration, especially across disciplines and contexts, acknowledging the role of the latter in shaping the formation process. Two, the need to embrace (self-) selection and endogeneity of founding characteristics, processes, and performance outcomes to the antecedent formation stage. We conclude that entrepreneurial team formation research is a fertile ground that has met merely a fraction of its potential to advance important knowledge in the field.","ama","entrepreneurial team formation the process through which founders establish a team to start a new venture has important implications for team performance and entrepreneurial success although research on entrepreneurial team formation is gradually growing it is at a critical juncture and marked by considerable fragmentation in part this is because scholars have examined entrepreneurial team formation through different disciplinary lenses and within very different contexts our structured content analysis situates the literature based on questions addressed for new venture team formation such as why how when and where entrepreneurial teams are formed the resulting integrative framework delineates the dynamic nature of the formation process the origins of new venture teams primary formation strategies used to initiate cofounding relations and their effects on team characteristics processes and performance two key insights emerge to guide future research one the need for integration especially across disciplines and contexts acknowledging the role of the latter in shaping the formation process two the need to embrace self selection and endogeneity of founding characteristics processes and performance outcomes to the antecedent formation stage we conclude that entrepreneurial team formation research is a fertile ground that has met merely a fraction of its potential to advance important knowledge in the field"
"218",218,"The Academy of Management Annals","14","1","303-338","Ocasio, William",2020,"Varieties of Political Capital and Power in Organizations: A Review and Integrative Framework","10.5465/annals.2018.0062","We review the organizational literature on power in light of Bourdieu’s concept of capital to further a political capital perspective on power in organizations. In reviewing the literature, we find that Bourdieu’s concepts of economic, cultural, social, and symbolic capital provide a useful beginning, yet are imprecise and insufficient for organizational research. We therefore modify and extend Bourdieu’s typology to include knowledge, reputational, organizational, and institutional capital as distinct varieties of political capital in organizations. We provide an integrative framework and further review the concept of political capital as determinant of power within organizations, focusing on its activation and mobilization, its convertibility, and the contingency of its value in organizations. We also bring to the fore various mechanisms latent in the extant literature that explain how political capital generates power—not only resource dependence but also status, identification, and legitimacy. Our proposed political capital framework provides a foundation for further research on power in organizations.","ama","we review the organizational literature on power in light of bourdieu concept of capital to further a political capital perspective on power in organizations in reviewing the literature we find that bourdieu concepts of economic cultural social and symbolic capital provide a useful beginning yet are imprecise and insufficient for organizational research we therefore modify and extend bourdieu typology to include knowledge reputational organizational and institutional capital as distinct varieties of political capital in organizations we provide an integrative framework and further review the concept of political capital as determinant of power within organizations focusing on its activation and mobilization its convertibility and the contingency of its value in organizations we also bring to the fore various mechanisms latent in the extant literature that explain how political capital generates power not only resource dependence but also status identification and legitimacy our proposed political capital framework provides a foundation for further research on power in organizations"
"219",219,"The Academy of Management Annals","14","1","339-365","Aragòn-Correa, J.Alberto",2020,"The Effects of Mandatory and Voluntary Regulatory Pressures on Firms’ Environmental Strategies: A Review and Recommendations for Future Research","10.5465/annals.2018.0014","This article presents an in-depth review of scholarship on how mandatory and voluntary regulatory pressures on firms affect their environmental strategies and performance. Although mandatory regulation typically has a strong and positive influence on firms’ environmental performance, studies of the effects of voluntary pressures demonstrate that by themselves they are unlikely to bring about significant improvement in environmental outcomes. Accordingly, future research should focus on the complementary impacts of mandatory and voluntary programs on organizations’ environmental strategies and performance rather than analyzing their separate influence. Scholars should examine i) more than a single environmental pressure at a given time, ii) more than one response to the regulatory context, iii) the synergy between mandatory and voluntary pressures, iv) the impact of imperfect enforcement, and v) the political influence corporations exert on the mandatory and voluntary pressures that affect them. This essay argues that managers react to environmental regulations in different ways depending on how they understand the multiple pressures that they confront and their opportunities to influence the outcomes.","ama","this article presents an in depth review of scholarship on how mandatory and voluntary regulatory pressures on firms affect their environmental strategies and performance although mandatory regulation typically has a strong and positive influence on firms environmental performance studies of the effects of voluntary pressures demonstrate that by themselves they are unlikely to bring about significant improvement in environmental outcomes accordingly future research should focus on the complementary impacts of mandatory and voluntary programs on organizations environmental strategies and performance rather than analyzing their separate influence scholars should examine i more than a single environmental pressure at a given time ii more than one response to the regulatory context iii the synergy between mandatory and voluntary pressures iv the impact of imperfect enforcement and v the political influence corporations exert on the mandatory and voluntary pressures that affect them this essay argues that managers react to environmental regulations in different ways depending on how they understand the multiple pressures that they confront and their opportunities to influence the outcomes"
"220",220,"The Academy of Management Annals","14","1","366-410","Kellogg, KatherineC.",2020,"Algorithms at Work: The New Contested Terrain of Control","10.5465/annals.2018.0174","The widespread implementation of algorithmic technologies in organizations prompts questions about how algorithms may reshape organizational control. We use Edwards’ (1979) perspective of “contested terrain,” wherein managers implement production technologies to maximize the value of labor and workers resist, to synthesize the interdisciplinary research on algorithms at work. We find that algorithmic control in the workplace operates through six main mechanisms, which we call the “6 Rs”—employers can use algorithms to direct workers by restricting and recommending, evaluate workers by recording and rating, and discipline workers by replacing and rewarding. We also discuss several key insights regarding algorithmic control. First, labor process theory helps to highlight potential problems with the largely positive view of algorithms at work. Second, the technical capabilities of algorithmic systems facilitate a form of rational control that is distinct from the technical and bureaucratic control used by employers for the past century. Third, employers’ use of algorithms is sparking the development of new algorithmic occupations. Finally, workers are individually and collectively resisting algorithmic control through a set of emerging tactics we call algoactivism. These insights sketch the contested terrain of algorithmic control and map critical areas for future research.","ama","the widespread implementation of algorithmic technologies in organizations prompts questions about how algorithms may reshape organizational control we use edwards perspective of contested terrain wherein managers implement production technologies to maximize the value of labor and workers resist to synthesize the interdisciplinary research on algorithms at work we find that algorithmic control in the workplace operates through six main mechanisms which we call the rs employers can use algorithms to direct workers by restricting and recommending evaluate workers by recording and rating and discipline workers by replacing and rewarding we also discuss several key insights regarding algorithmic control first labor process theory helps to highlight potential problems with the largely positive view of algorithms at work second the technical capabilities of algorithmic systems facilitate a form of rational control that is distinct from the technical and bureaucratic control used by employers for the past century third employers use of algorithms is sparking the development of new algorithmic occupations finally workers are individually and collectively resisting algorithmic control through a set of emerging tactics we call algoactivism these insights sketch the contested terrain of algorithmic control and map critical areas for future research"
"221",221,"The Academy of Management Annals","14","1","411-449","Petriglieri, Gianpiero",2020,"The Return of the Oppressed: A Systems Psychodynamic Approach to Organization Studies","10.5465/annals.2017.0007","This article reviews the history, foundations, development, and position of systems psychodynamic scholarship in organization studies. Systems psychodynamic scholarship focuses on the interaction between collective structures, norms, and practices in social systems and the cognitions, motivations, and emotions of members of those systems. It is most useful to investigate the unconscious forces that underpin the persistence of dysfunctional organizational features and the appeal of irrational leaders. It is also well equipped to challenge arrangements that stifle individual and organizational development. The article documents the tension, in this body of work, between an “outside-in” perspective, focused on institutions’ influence on individuals, and an “inside-out” perspective, focused on leaders’ influence on institutions. It also interrogates the marginalization of systems psychodynamic scholarship, positing that its marginality is both a social defense for organization studies as a whole and a generative feature of the systems psychodynamics approach. Granting it a position of functional, rather than oppressed, marginality, the article concludes, will enrich research about the experience, management, and organization of contemporary work.","ama","this article reviews the history foundations development and position of systems psychodynamic scholarship in organization studies systems psychodynamic scholarship focuses on the interaction between collective structures norms and practices in social systems and the cognitions motivations and emotions of members of those systems it is most useful to investigate the unconscious forces that underpin the persistence of dysfunctional organizational features and the appeal of irrational leaders it is also well equipped to challenge arrangements that stifle individual and organizational development the article documents the tension in this body of work between an outside in perspective focused on institutions influence on individuals and an inside out perspective focused on leaders influence on institutions it also interrogates the marginalization of systems psychodynamic scholarship positing that its marginality is both a social defense for organization studies as a whole and a generative feature of the systems psychodynamics approach granting it a position of functional rather than oppressed marginality the article concludes will enrich research about the experience management and organization of contemporary work"
"222",222,"The Academy of Management Annals","14","1","60-91","Bapuji, Hari",2020,"Organizations and Societal Economic Inequality: A Review and Way Forward","10.5465/annals.2018.0029","We review research on the organizational causes (how do organizations contribute?) and consequences (how are organizations affected?) of economic inequality. Our review of 151 conceptual and empirical articles indicates that organizational research on economic inequality not only encompasses a wide range of topics at multiple levels of analysis but also that this broad-scope literature exhibits conceptual ambiguities and lacks overarching organizing frameworks. To address these two issues, we develop an organizational perspective on economic inequality and clarify it as uneven distribution in the endowment and/or access to resources in a society, which manifests in differential abilities and opportunities to engage in value creation. Following this, we integrate the reviewed research to highlight the bidirectional relationship between societal economic inequality and organizations, and eight mechanisms that drive this relationship. We conclude by identifying opportunities for future research on economic inequality in research on management and organizations.","ama","we review research on the organizational causes how do organizations contribute and consequences how are organizations affected of economic inequality our review of conceptual and empirical articles indicates that organizational research on economic inequality not only encompasses a wide range of topics at multiple levels of analysis but also that this broad scope literature exhibits conceptual ambiguities and lacks overarching organizing frameworks to address these two issues we develop an organizational perspective on economic inequality and clarify it as uneven distribution in the endowment and or access to resources in a society which manifests in differential abilities and opportunities to engage in value creation following this we integrate the reviewed research to highlight the bidirectional relationship between societal economic inequality and organizations and eight mechanisms that drive this relationship we conclude by identifying opportunities for future research on economic inequality in research on management and organizations"
"223",223,"The Academy of Management Annals","14","1","92-121","Shipilov, Andrew",2020,"Integrating Research on Interorganizational Networks and Ecosystems","10.5465/annals.2018.0121","Organizations are simultaneously embedded in interorganizational networks and ecosystems, yet research on networks and ecosystems developed in isolation. The aim of this partial integration is to bring new energy into maturing research on organizational networks and greater structure to the burgeoning research on ecosystems. In this article, we underlie similarities and differences between networks and ecosystems; bring the ecosystems’ focus on modularity and complementarity at the forefront of interorganizational research while enriching ecosystems’ scholarship with systematic applications of network analytic tools to map the patterns of component interdependencies.","ama","organizations are simultaneously embedded in interorganizational networks and ecosystems yet research on networks and ecosystems developed in isolation the aim of this partial integration is to bring new energy into maturing research on organizational networks and greater structure to the burgeoning research on ecosystems in this article we underlie similarities and differences between networks and ecosystems bring the ecosystems focus on modularity and complementarity at the forefront of interorganizational research while enriching ecosystems scholarship with systematic applications of network analytic tools to map the patterns of component interdependencies"
"224",224,"The Academy of Management Annals","14","2","1032-1066","Hardy, Cynthia",2020,"Organizing Risk: Organization and Management Theory for the Risk Society","10.5465/annals.2018.0110","Risk has become a crucial part of organizing, affecting a wide range of organizations in all sectors. We identify, review, and integrate diverse literatures relevant to organizing risk, building on an existing framework that describes how risk is organized in three “modes”—prospectively, in real-time, and retrospectively. We then identify three critical issues in the existing literature: its fragmented nature, its neglect of the tensions associated with each of the modes, and its tendency to assume that the meaning of an object in relation to risk is singular and stable. We provide a series of new insights with regard to each of these issues. First, we develop the concept of a risk cycle that shows how organizations engage with all three modes and transition between them over time. Second, we explain why the tensions have been largely ignored and show how studies using a risk-work perspective can provide further insights into them. Third, we develop the concept of risk translation to highlight the ways in which the meanings of risks can be transformed and to identify the political consequences of such translations. We conclude the article with a research agenda to elaborate these insights and ideas further.","ama","risk has become a crucial part of organizing affecting a wide range of organizations in all sectors we identify review and integrate diverse literatures relevant to organizing risk building on an existing framework that describes how risk is organized in three modes prospectively in real time and retrospectively we then identify three critical issues in the existing literature its fragmented nature its neglect of the tensions associated with each of the modes and its tendency to assume that the meaning of an object in relation to risk is singular and stable we provide a series of new insights with regard to each of these issues first we develop the concept of a risk cycle that shows how organizations engage with all three modes and transition between them over time second we explain why the tensions have been largely ignored and show how studies using a risk work perspective can provide further insights into them third we develop the concept of risk translation to highlight the ways in which the meanings of risks can be transformed and to identify the political consequences of such translations we conclude the article with a research agenda to elaborate these insights and ideas further"
"225",225,"The Academy of Management Annals","14","2","1067-1102","Hallen, BenjaminL.",2020,"Entrepreneurial Network Evolution: Explicating the Structural Localism and Agentic Network Change Distinction","10.5465/annals.2018.0063","Literature has long highlighted that entrepreneurs benefit from having the right network connections. We observe, however, that although the large and growing literature on entrepreneur network evolution shares a common focus around the formation and dissolution of entrepreneurs’ interdependent, socially embedded relationships, this literature is fragmented and does not always use the explicit language of network theory. We conduct an integrative review to put forth a typology of five core drivers of entrepreneur network evolution. A core insight of our review is that most entrepreneurial network research emphasizes an overarching pattern that suggests substantial path-dependence, with new ties often being local to entrepreneurs’ existing network, hierarchical, and geographic positions. We label this perspective structural localism. By contrast, more recent, emerging research on entrepreneurial action in forming interorganizational relationships, much of which does not use the language of network theory (e.g., ties and networks), suggests a more dynamic and path-creating pattern. We label this perspective agentic network change. After explicating the distinct theoretical foundations and behavioral assumptions of each perspective, we sketch a research agenda for better balancing our understanding of the two and how they intertwine.","ama","literature has long highlighted that entrepreneurs benefit from having the right network connections we observe however that although the large and growing literature on entrepreneur network evolution shares a common focus around the formation and dissolution of entrepreneurs interdependent socially embedded relationships this literature is fragmented and does not always use the explicit language of network theory we conduct an integrative review to put forth a typology of five core drivers of entrepreneur network evolution a core insight of our review is that most entrepreneurial network research emphasizes an overarching pattern that suggests substantial path dependence with new ties often being local to entrepreneurs existing network hierarchical and geographic positions we label this perspective structural localism by contrast more recent emerging research on entrepreneurial action in forming interorganizational relationships much of which does not use the language of network theory e g ties and networks suggests a more dynamic and path creating pattern we label this perspective agentic network change after explicating the distinct theoretical foundations and behavioral assumptions of each perspective we sketch a research agenda for better balancing our understanding of the two and how they intertwine"
"226",226,"The Academy of Management Annals","14","2","1103-1139","Nault, KellyA.",2020,"The Attractiveness Advantage At Work: A Cross-Disciplinary Integrative Review","10.5465/annals.2018.0134","Compared with people of average attractiveness, the highly attractive earn roughly 20 percent more and are recommended for promotion more frequently. The dominant view of this “attractiveness advantage” is one of taste-based discrimination, whereby attractive individuals are preferred without justification in economic productivity. We conduct a comprehensive review of research on attractiveness discrimination, finding relatively more evidence that this phenomenon constitutes, to some extent, statistical (as opposed to solely taste-based) discrimination, in which decision makers assume that attractive people are more competent and discriminate based on instrumental motives. We then review research that speaks to whether decision makers might be correct in assuming that attractive workers are more productive, finding that the attractive possess a slight advantage in human and a notable advantage in social capital. We finally review studies evaluating whether an advantage exists beyond that explained by capital differences. We find that the current body of work provides inconclusive evidence of taste-based but relatively more conclusive evidence of statistical discrimination processes. Our integrative view suggests how attractiveness biases can be detected more effectively, and points to key directions for future research on the sources of the attractiveness advantage. We conclude by discussing the promise of an integrative approach to understanding other achievement gaps, such as those on the basis of gender, race, and social class.","ama","compared with people of average attractiveness the highly attractive earn roughly percent more and are recommended for promotion more frequently the dominant view of this attractiveness advantage is one of taste based discrimination whereby attractive individuals are preferred without justification in economic productivity we conduct a comprehensive review of research on attractiveness discrimination finding relatively more evidence that this phenomenon constitutes to some extent statistical as opposed to solely taste based discrimination in which decision makers assume that attractive people are more competent and discriminate based on instrumental motives we then review research that speaks to whether decision makers might be correct in assuming that attractive workers are more productive finding that the attractive possess a slight advantage in human and a notable advantage in social capital we finally review studies evaluating whether an advantage exists beyond that explained by capital differences we find that the current body of work provides inconclusive evidence of taste based but relatively more conclusive evidence of statistical discrimination processes our integrative view suggests how attractiveness biases can be detected more effectively and points to key directions for future research on the sources of the attractiveness advantage we conclude by discussing the promise of an integrative approach to understanding other achievement gaps such as those on the basis of gender race and social class"
